instname,housed_under,college,school,department,program,cip_program,website_inst,website_program,website_catalog,course_titles
California State University-East Bay,Computing,College of Science,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.csueastbay.edu/,https://www.csueastbay.edu/cs/courses/index.html,https://catalog.csueastbay.edu/preview_program.php?catoid=33&poid=14463&returnto=28933,Advanced Algorithms; Advanced Software Engineering; Cryptography & Data Security; Parallel Computing; Theory of Computation; Compiler Design; Operating Systems Design; Cloud Computing; Advanced Computer Architecture; Database Systems; Advanced Computer Networks; Web Systems; Advanced Artificial Intelligence; Computer Vision; Human-Computer Interaction; Machine Learning; Cybersecurity; Digital Signal Processing; Internet of Things; Independent Study; Capstone Examinations; Capstone Project; Topics in Computer Science; Topics in Computer Networks; Internship; Capstone Thesis
California State University-East Bay,Computing,College of Science,N/A,Department of Computer Science,Computer Science (Computer Networks Concentration) - Master of Science,11.0701,https://www.csueastbay.edu/,https://www.csueastbay.edu/cs/courses/index.html,https://catalog.csueastbay.edu/preview_program.php?catoid=33&poid=14462&returnto=28933,Advanced Algorithms; Advanced Software Engineering; Cryptography & Data Security; Parallel Computing; Theory of Computation; Compiler Design; Operating Systems Design; Cloud Computing; Advanced Computer Architecture; Database Systems; Advanced Computer Networks; Web Systems; Advanced Artificial Intelligence; Computer Vision; Human-Computer Interaction; Machine Learning; Cybersecurity; Digital Signal Processing; Internet of Things; Independent Study; Capstone Examinations; Capstone Project; Topics in Computer Science; Topics in Computer Networks; Internship; Capstone Thesis
California State University-Fresno,Computing,College of Science and Mathematics,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://csm.fresnostate.edu/,https://csm.fresnostate.edu/csci/degrees/index.html ,https://catalog.fresnostate.edu/preview_program.php?catoid=3&poid=1618&returnto=90,Design and Analysis of Algorithms; Introduction to Computability; Introduction to Research in Computer Science; CSCI Colloquium; Computer Organization; Computer Architecture; Programming Language Principles; Advanced Database Systems; Advanced Web Application Development; Operating Systems; Computer Architecture; Advanced Software Engineering; Software Development and Environments; Human-Computer Interaction; Wireless Communications and Mobile Computing; Artificial Intelligence; Reinforcement Learning; Computer Graphics; Combinatorial Algorithms; Theory of Computation; Automata Theory; Research Project; Master’s Thesis; Comprehensive Exam
California State University-Fullerton,Computing,College of Engineering & Computer Science,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.fullerton.edu/,http://www.fullerton.edu/ecs/cs/degree/graduate.php ,https://catalog.fullerton.edu/preview_program.php?catoid=80&poid=38158&returnto=11049,"Advanced Database Management; Advanced Blockchain Technologies; Advanced Computer Graphics; Expert Systems Design Theory; Artificial Neural Networks; Operating Systems Design; Cyber Forensics; Advanced Computer Networking; Systems and Software Standards and Requirements; Software Verification and Validation; Software Maintenance; Advanced Software Process; Software Design and Architecture; Modern Software Management; Software Measurement; Professional, Ethical and Legal Issues for Software Engineers; Advanced Algorithms; Mobile Device Application Programming; Database and Apple; Cloud Computing and Security; Web Security; Network Security Fundamentals; Malware Analysis; Blockchain Technologies; Software Design; Software Testing; Software Architecture; Software Process; Computer Communications; Parallel and Distributed Computing; Introduction to High Performance Computing; Artificial Intelligence; Introduction to Machine Learning; Principles of Computer Graphics; Computational Bioinformatics; Game Programming; Game Development Project; Mobile Computing; Advanced Database Management; Applied Algorithms; Advanced Algorithms; Systems and Software Standards and Requirements; Software Verification and Validation; Software Maintenance; Advanced Software Process; Software Design and Architecture; Modern Software Management; Software Measurement; Professional, Ethical and Legal Issues for Software Engineers; Web Application Frameworks; Operating Systems Design; Cyber Forensics; Advanced Computer Networking; Advanced Blockchain Technologies; Advanced Computer Graphics; Expert Systems Design Theory; Artificial Neural Networks; Independent Graduate Research; Seminar in Computer Science; Project; Thesis"
California State University-Long Beach,Computing,College of Engineering,N/A,Computer Engineering & Computer Science Department,Computer Science - Master of Science,11.0701,https://www.csulb.edu/,http://catalog.csulb.edu/preview_program.php?catoid=8&poid=3755 ,http://catalog.csulb.edu/preview_program.php?catoid=8&poid=3755,"Advanced Topics in Programming Languages; Advanced Analysis of Algorithms; Advanced Computer Architecture I; Advanced Software Engineering; Advanced Artificial Intelligence; Theory of Computation; Database Architecture; Advanced Operating Systems; Search Engine Technology; Advanced Computer Architecture II; Memory Design and Implementation; Requirements Engineering; Software Testing and Verification; Software Architecture; Fault Tolerant Computing Systems; Software Maintenance, Reengineering and Reuse; Pattern Recognition; Computer Simulation and Modeling; Machine Vision; Hardware/Software Co-design; Concurrent Parallel Programming; Fundamentals of Semantic Web technologies; Advanced Computer Networking; Distributed Computing; Object-Oriented Analysis and Design; Blockchain Technology; Information Security; Selected Topics in Computer Science; Directed Research; Thesis or Industrial Project; Advanced Topics in Programming Languages; Advanced Analysis of Algorithms; Advanced Software Engineering"
California State University-Los Angeles,Computing,"College of Engineering, Computer Science, & Technology",N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.calstatela.edu/,https://www.calstatela.edu/ecst/cs/graduate ,https://ecatalog.calstatela.edu/content.php?filter%5B27%5D=CS&filter%5B29%5D=&filter%5Bcourse_type%5D=16094&filter%5Bkeyword%5D=&filter%5B32%5D=1&filter%5Bcpage%5D=1&filter%5Bexact_match%5D=1&cur_cat_oid=73&expand=&navoid=9795&search_database=Filter#acalo,Systems Analysis and Logical Design II; Topics in Functional Programming; Design and Analysis of Algorithms; Theory of Computing; Languages and Translators; Advanced Topics in Web Programming; Advanced Software Engineering; Advanced Software Architecture; Advanced Topics in Operating Systems; Advanced Computer Networks; Graduate Topics in Computer Science; Advanced Computer Graphics; Advanced Topics in Artificial Intelligence; Topics in Data Science; Advanced Information Security; Computer and Network Security; Human Issues in Computing; Comprehensive Examination; Graduate Directed Study; Thesis; Project
California State University-Northridge,Computing,College of Engineering and Computer Science,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.csun.edu/,https://w2.csun.edu/academics/majors-and-programs/computer-science-ms ,https://catalog.csun.edu/academics/comp/programs/ms-computer-science/,Embedded Applications; Mobile Computing; Mobile Computing Laboratory; Advanced Network Topics and Lab; Parallel and Distributed Computing and Lab; Network Infrastructure; Data Mining; Machine Learning; Expert Systems; Advanced Computer Graphics; Software Requirements Analysis and Specification; Software Engineering Management; Advanced Web Engineering; Graphical User Interfaces; Object-Oriented Software Development; Software Verification and Validation; Software Metrics; Experimental Topics Courses; Advanced Selected Topics; Data Structures and Algorithms; Advanced Topics in Computation Theory; Computer System Architecture; Formal Semantics of Programming Languages; Advanced Topics in Software Engineering; Software Architecture and Design; Experimental Topics Courses; Directed Graduate Research; Thesis; Independent Study
California State University-Sacramento,Computing,College of Engineering & Computer Science,N/A,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.csus.edu/,https://catalog.csus.edu/colleges/engineering-computer-science/computer-science/ms-in-computer-science/ ,https://catalog.csus.edu/colleges/engineering-computer-science/computer-science/ms-in-computer-science/,Professional Writing in Computer Science; Programming Language Principles; Computer Systems Structure; Algorithms And Paradigms; Research Methodology; Microprocessor Systems Architecture; Computer-Aided Systems Design and Verification; Hierarchical Digital Design Methodology; Advanced Computer Architecture; Bioinformatics: Data Integration and Algorithms; Database System Design; Computer Security; Cryptography Theory and Practice; Computer Forensics; Network Security; Knowledge-Based Systems; Artificial Intelligence; Machine Learning; Computer Networks; Distributed Systems; Advanced Data Communication Systems; Software System Engineering; Software Engineering Metrics; Software Requirements Analysis and Design; Advanced Software Engineering Project Management; Software Verification and Validation; Software Architecture; Formal Methods in Secure Software Engineering; Human-Computer Interface Design; Advanced Operating Systems Principles and Design; Performance Modeling and Evaluation; Computer Security; Principles of Compiler Design; Master's Thesis; Master's Project 
California State University-San Bernardino,Computing,College of Natural Sciences,School of Computer Science & Engineering,N/A,Computer Science - Master of Science,11.0701,https://www.csusb.edu/,https://www.csusb.edu/cse/programs/ms-computer-science ,https://catalog.csusb.edu/,"Introduction to Formal Languages and Automata Theory; Introduction to Theory of Computation; Advanced Computer Architecture; Introduction to Artificial Intelligence; Computational Intelligence; Automated Reasoning; Machine Learning; Advanced Computer Graphics; Introduction to Computer Engineering Design; Digital System Design; Parallel Algorithms and Programming; Data Communications; Numerical Computation; Sustainable Engineering Design; Robotics and Control; Advanced Bioinformatics I: Sequence Analysis; Advanced Bioinformatics II: Numerical Modeling; Compilers; Database Systems; Internship in Computer Science and Engineering; Advanced Database Systems; Topics in Computer Science and Engineering; Computation and Complexity Theory; Advanced Computation and Complexity Theory; Modern Computer Architecture; VLSI Circuit Design; Programming Languages Theory; Contemporary Computer Graphics; Distributed Computer Systems; Multiprocessor and Parallel Processing; Theory of Algorithms and Their Analysis; Advanced Data Communications; Neural Networks; Numerical Algorithms and Simulation; Artificial Intelligence; Software Engineering Concepts; Formal Methods, Models and Languages; Operating Systems Concepts and Theory; Compiler Design Theory; Advanced Compilers; Distributed Database Management Systems; Graduate Seminar; Graduate Research Methods in Computer Science; Independent Study; Graduate Independent Study; Masters Project; Thesis"
California State University-San Marcos,Computing,"College of Science, Technology, Engineering, & Mathematics",N/A,Department of Computer Science and Information Systems,Computer Science - Master of Science,11.0701,https://www.csusm.edu/,https://www.csusm.edu/cs/degree_programs/master/index.html ,https://catalog.csusm.edu/preview_program.php?catoid=9&poid=1857&returnto=1290,Research Preparation in Computer Science; Introduction to Bioinformatics; Introduction to Data Mining; Analysis and Intractability of Algorithms; Advanced Computer Architectures; Introduction to Computer Graphics; Introduction to 3D Game Graphics; Data Communication and Computer Networks; Cryptography and Network Security; Client/Server Computing; Design Patterns and Object-Oriented Analysis; Advanced Programming Languages; Compilers; Artificial Intelligence; Artificial Intelligence and Games; Intelligent Information Retrieval; Machine Learning Systems; Intelligent Tutoring Systems; Introduction to Text Mining; Mobile and IoT Security; Introduction to Research and Publishing in Computer Science; Advanced Topics in Computer Science; Data Mining in Bioinformatics; Advanced Computational Complexity; Algorithms in Bioinformatics; Advanced Operating Systems; Advanced Computer Graphics; Advanced Computer Networks; Advanced Database Management Systems; Artificial Neural Networks and Forecasting; Development of Intelligent Tutoring Systems; Text Mining; Advanced Internet of Things; Graduate Individual Study in Computer Science; Graduate Individual Study in Computer Science; Graduate Individual Study in Computer Science; Graduate Topics in Computer Science; Master’s Research Project; Master’s Thesis
California State University-San Marcos,Computing,"College of Science, Technology, Engineering, & Mathematics",N/A,Department of Computer Science and Information Systems,Cybersecurity - Master of Science,Cybersecurity*,https://www.csusm.edu/,https://www.csusm.edu/el/programs/science-technology/mscybersecurity/index.html ,https://catalog.csusm.edu/preview_program.php?catoid=5&poid=877&returnto=483,Introduction to Cybersecurity; Security in Computer Networks; Secure Features in Operating Systems; Development of Secure Software; Cryptography; Offensive Security and Penetration Testing; Intrusion Detection and Incident Response; Principles of Organizational Behavior and Leadership for Security Management; Information Systems and Security Management; Information Security Governance; Technology Assessment and Security Risk Management; Semester in Residence Project Writing Workshop; Internship/Semester in Residence/Project
Clark Atlanta University,Computing,N/A,School of Arts & Sciences,Department of Cyber-Physical Systems,Computer Science - Master of Science,11.0701,https://www.cau.edu/index.html,https://www.cau.edu/school-of-arts-and-sciences/cis/graduate-programs.html ,https://www.cau.edu/registrar/School-of-Arts-Sciences-Graduate-Catalog-Addendum-Fall-20212.pdf,Algorithm Design & Analysis; Computer Organization; Operating Systems Design; Database Design; Systems Software/Hardware; Data Base; Distributed Systems/Networking; Information Systems; Thesis Research; Research/Design Project in Computer Science
Clayton  State University,Computing,College of Information and Mathematical Sciences,N/A,Department of Computer Science and Information Technology,Cyber Technology - Master of Science,Cyber Technology*,https://clayton.edu/,https://www.clayton.edu/graduate/programs/msct/ ,https://catalog.clayton.edu/academic-catalog/graduate-studies/cyber-technology-ms/#coursestext,Computer and Networks Security; Operating Systems Administration and Security; Secure Network Modeling and Simulations; Secure Networks and Communication; Software Security; Introduction to Cybersecurity; Digital Forensics and Incident; Information Risk Management; Advanced Topics in Cyber Technology; Disaster Recovery Planning; Cloud Computing; Data Security and Analytics; Enterprise Security Management; Cryptographic Techniques; Research Techniques; Special Project; Thesis
Clayton  State University,Computing,College of Information and Mathematical Sciences,N/A,Department of Computer Science and Information Technology,Data Science - Master of Science,Data Science*,https://clayton.edu/,https://www.clayton.edu/graduate/programs/msds/ ,https://catalog.clayton.edu/academic-catalog/graduate-studies/data-science-ms/#coursestext,Foundations of Information Systems; System Analysis and Design; Database Theory and Design; Operating Systems Administration and Security; Information Risk Management; Advanced Topics in Information; Data Management for Analytics; Data Mining and Data Warehousing; Foundation of Artificial Intelligence; Cloud Computing; Web Application Development; Digital Transformation; Research Techniques; Special Project; Thesis; Introduction to Health Information; Foundations of Clinical Procedures and Work; Health Care Analytics and Applications; Data Science; Knowledge Engineering; Health Systems Administration; Information Management-Health Care
Clayton  State University,Computing,College of Information and Mathematical Sciences,N/A,Department of Computer Science and Information Technology,Cyber Technology - Combined Bachelor and Master of Science,Cyber Technology*,https://clayton.edu/,https://www.clayton.edu/cims/csit/programs ,https://catalog.clayton.edu/academic-catalog/graduate-studies/cyber-technology-ms/#coursestext,Computer and Networks Security; Operating Systems Administration and Security; Secure Network Modeling and Simulations; Secure Networks and Communication; Software Security; Introduction to Cybersecurity; Digital Forensics and Incident; Information Risk Management; Advanced Topics in Cyber Technology; Disaster Recovery Planning; Cloud Computing; Data Security and Analytics; Enterprise Security Management; Cryptographic Techniques; Research Techniques; Special Project; Thesis
Clayton  State University,Computing,College of Information and Mathematical Sciences,N/A,Department of Computer Science and Information Technology,Data Science - Combined Bachelor and Master of Science,Data Science*,https://clayton.edu/,https://www.clayton.edu/cims/csit/programs ,https://catalog.clayton.edu/academic-catalog/graduate-studies/data-science-ms/#coursestext,Foundations of Information Systems; System Analysis and Design; Database Theory and Design; Operating Systems Administration and Security; Information Risk Management; Advanced Topics in Information; Data Management for Analytics; Data Mining and Data Warehousing; Foundation of Artificial Intelligence; Cloud Computing; Web Application Development; Digital Transformation; Research Techniques; Special Project; Thesis; Introduction to Health Information; Foundations of Clinical Procedures and Work; Health Care Analytics and Applications; Data Science; Knowledge Engineering; Health Systems Administration; Information Management-Health Care
CUNY City College,Computing,N/A,The Grove School of Engineering,Department of Computer Science,Computer Science - Master of Science,11.0701,https://www.ccny.cuny.edu/,https://www.ccny.cuny.edu/admissions/computer-science-ms ,https://ccny.smartcatalogiq.com/en/2021-2022/graduate-bulletin/courses/csc-computer-science-course-descriptions/,"Operating Systems; Computer Graphics; Fundamental Algorithms; Compiler Construction; Topics in Software Systems; Web/Geographic Information Systems; Image Processing; Graph Theory and Algorithms; Database Systems I; Database Systems II; Topics in Algorithms; Parallel Algorithms; Artificial Intelligence; Natural Language Processing; Topics in Artificial Intelligence; Computer Vision; Pattern Recognition and Machine Learning; Introduction to Theoretical Computer Science; Finite Automata and Models of Computation; Theory of Computability; Symbolic Computation; Formal Language Theory; Computational Complexity; Topics in the Theory of Computing; Seminar in Information Systems; The Information Marketplace; Computer Architecture; Computer Communications; Advanced Topics in Internet Programming; Topics in Computer Architecture; Multimedia; Topics in Computer Communications; Codes, Cryptography, and Secure Communication; Computer Security; Web Security; Mathematics for the Analysis of Algorithms; Mathematical Programming I; Mathematical Programming II; Decision Analysis; Topics in System Simulation; Probabilistic Models in Computer Science; Topics in Scientific and Statistical Computing; Data Reduction in the Physical Sciences; Neural Computing; Special Topics in Contemporary Computer Science; Report; Project; Research for Master's Thesis "
CUNY City College,Computing,N/A,The Grove School of Engineering,Department of Computer Science,Cybersecurity - Master of Science,Cybersecurity*,https://www.ccny.cuny.edu/,https://cybersecurity.ccny.cuny.edu/,https://cybersecurity.ccny.cuny.edu/page/curriculum.php,Computer Communications Networks; Network Security; Fundamental Algorithms; Computer Security; Secure Operating Systems; Adversarial AI; Blockchain Applications; Hardware Security; Law and Policy Issues in Cybersecurity; Modern Cryptography; Penetration Testing & Ethical Hacking; Privacy for Data Scientists; Secure Cloud Computing; Secure Internet of Things Design Lab; Web Security; 5G Mobile Technologies and Internet of Things (IoT); Advanced Computer Architecture; Advanced Topics in Internet Programming; AI for Engineering Applications; Applied Machine Learning & Data Mining; Artificial Intelligence; Communications Protocol Engineering; Database Systems I; Database Systems II; Distributed Algorithms; High Speed Networks; IP Routing; Neural Networks & Deep Learning; Probability & Stochastic Processes; Wireless Communications; Wireless Sensor Networks; Project
CUNY City College,Computing,N/A,The Grove School of Engineering,Department of Computer Science,Data Science and Engineering - Master of Science,Data Science*,https://www.ccny.cuny.edu/,https://www.ccny.cuny.edu/engineering/admission-0,https://www.ccny.cuny.edu/engineering/curriculum,Introduction to Data Science; Applied Statistics; Applied Machine Learning and Data Mining; Data Engineering: Infrastructure and Applications; Big Data and Scalable Computation; Visual Analytics; Capstone Project; Capstone Thesis; Biomedical Signal Processing and Signal Modeling; Biomedical Imaging; Organ Transport and Pharmacokinetics; Interfacial Phenomena; Advanced Materials Engineering; Nanotechnology; Engineering Hydrology; Advanced Algorithms; Computer Graphics; Database Systems I; Database Systems II;  Machine Learning and Data Mining; Multimedia; Data Reduction in Physical Sciences; Computer Vision; Web-based Geographical Information System (Web-GIS); Massively Data Parallel Programming on GPUs; Image Processing; Introduction to Robotics; Advanced Mobile Robotics; Computer-Aided Digital VLSI Design; Biologically Inspired Computation for Engineering Problems
CUNY City College,Computing,N/A,The Grove School of Engineering,Department of Computer Science,Information Systems - Master of Science,Computer and Information Systems Management*,https://www.ccny.cuny.edu/,https://www.ccny.cuny.edu/admissions/computer-science-mis ,https://ccny.smartcatalogiq.com/en/2017-2018/graduate-bulletin/grove-school-of-engineering/department-of-computer-science/information-systems-master-of-science-ms/,Statistics and Decision Making; Object-Oriented Design and Software Engineering; Database Management; Networking and Security; System Analysis and Design; Managerial Economics; Developing Management Skills; Organization and Management; Seminar in Information System Management; Managerial Economics; Organization and Management; Project in Information System Management
CUNY Hunter College,Computing,N/A,School of Arts & Sciences,Department of Computer Science,Computer Science - Master of Science,11.0701,https://hunter.cuny.edu/,https://www.hunter.cuny.edu/csci/computer-science-masters ,https://www.hunter.cuny.edu/csci/computer-science-masters,Algorithms; Computational Theory; Computer Systems; Computer Modeling and Simulation
CUNY Queens College,Computing,N/A,School of Mathematics and Natural Sciences,Department of Computer Science,Computer Science - Master of Arts,11.0701,https://www.qc.cuny.edu/,https://www.cs.qc.cuny.edu/grad.html ,https://www.cs.qc.cuny.edu/index-3.html,Advanced Programming in C++; Advanced Programming in Java; Data Structures; Discrete Structures; Computer Organization and Assembly Language; Internet and Web Technologies; Advanced Productivity Tools for Business; Algorithms I; Software Design; Compiler Construction; Database Systems; Distributed Computing; Computer Graphics; Computability and Complexity; Software Development Practicum; Research Practicum; Master's Thesis; Hardware Design Practicum; Computer Architecture and Networks; Switching Theory; Computer Systems; Computer Networks; Numerical Methods; Algorithms II; Topics in Systems Simulation; Computational Finance; Probabilistic Models in Computer Systems; Special Topics in Computer Science; Seminars in Computer Science; Research 
